File,DocType,Shipment_No,Line_ID,Page,Source,Description,Container,Currency,Amount_AED,VAT_AED,Total_AED,TYPE_B,Evidence_Status,Extraction_Note,Verdict
"HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf",BOE_CUSTOMS,HVDC-ADOPT-HE-0425,L001,2,text:customs_debit,Pre-Clear Debit,,AED,"101,180.00",,"101,180.00",Customs,MATCHED_AMOUNT,Customs debit note; date=,AMBER
"HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf",BOE_CUSTOMS,HVDC-ADOPT-HE-0425,L002,3,text:customs_debit,Pre-Clear Debit,,AED,90.00,,90.00,Customs,MATCHED_AMOUNT,Customs debit note; date=,AMBER
"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",BOE_CUSTOMS,HVDC-ADOPT-SCT-0123,L001,2,text:customs_debit,Pre-Clear Debit,,AED,"30,459.00",,"30,459.00",Customs,MATCHED_AMOUNT,Customs debit note; date=,AMBER
"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",BOE_CUSTOMS,HVDC-ADOPT-SCT-0123,L002,3,text:customs_debit,Pre-Clear Debit,,AED,90.00,,90.00,Customs,MATCHED_AMOUNT,Customs debit note; date=,AMBER
"HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf",CARRIER_RHS,HVDC-ADOPT-SCT-0123,L001,1,text:carrier_row,Container Inspection Fee,,AED,130.00,6.50,136.50,Inspection,MATCHED_AMOUNT,Carrier invoice text row,PASS
"HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf",CARRIER_RHS,HVDC-ADOPT-SCT-0123,L002,1,text:carrier_row,Equipment Repositioning Surcharge,,USD,29.38,0.00,29.38,OTHERS,MATCHED_AMOUNT,Carrier invoice text row,PASS
"HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf",CARRIER_RHS,HVDC-ADOPT-SCT-0123,L003,1,text:carrier_row,Admin Charges,,AED,35.00,1.75,36.75,OTHERS,MATCHED_AMOUNT,Carrier invoice text row,PASS
"HVDC-ADOPT-SCT-0123, 0124_PortCNTInsp.pdf",PORT_ALLIED,HVDC-ADOPT-SCT-0123,L001,1,table:inspection,Being Admin & Inspection Charges,HMMU6089377,AED,25.00,1.25,26.25,Inspection,MATCHED_AMOUNT,Allied/TWCS table row,PASS
HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf,CARRIER_CMA,HVDC-ADOPT-SCT-0126,L001,1,table:cma,Container Return Service Charge,,AED,535.00,,535.00,OTHERS,MATCHED_AMOUNT,CMA carrier table row,PASS
HVDC-ADOPT-SCT-0126_PortCNTInspection.pdf,PORT_ALLIED,HVDC-ADOPT-SCT-0126,L001,1,table:inspection,Being Admin & Inspection Charges,TGHU8788690,AED,25.00,1.25,26.25,Inspection,MATCHED_AMOUNT,Allied/TWCS table row,PASS
HVDC-ADOPT-SCT-0126_PortCNTInspection.pdf,PORT_ALLIED,HVDC-ADOPT-SCT-0126,L002,2,table:inspection,Being Admin & Inspection Charges,CMAU2623154,AED,25.00,1.25,26.25,Inspection,MATCHED_AMOUNT,Allied/TWCS table row,PASS
HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf,CARRIER_EVG,HVDC-ADOPT-SCT-0127,L001,1,text:evg,ISPS/D,,USD,36.73,,36.73,OTHERS,MATCHED_AMOUNT,Evergreen fixed-width line,PASS
HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf,CARRIER_EVG,HVDC-ADOPT-SCT-0127,L002,1,text:evg,Container Maintenance Charge,,AED,175.00,,175.00,OTHERS,MATCHED_AMOUNT,Evergreen fixed-width line,PASS
HVDC-ADOPT-SCT-0127_PortCNTInsp.pdf,PORT_CSP,HVDC-ADOPT-SCT-0127,L001,2,table:csp_detail,NORMAL NORMAL WASH,OOCU7430811,AED,100.00,,100.00,Inspection,MATCHED_AMOUNT,CSP equipment detail row,PASS
HVDC-ADOPT-SCT-0127_PortCNTInsp.pdf,PORT_CSP,HVDC-ADOPT-SCT-0127,L002,2,table:csp_detail,INSPECT CONTAINER INSPECTION,OOCU7430811,AED,30.00,,30.00,Inspection,MATCHED_AMOUNT,CSP equipment detail row,PASS
HVDC-ADOPT-SCT-0127_PortCNTInsp.pdf,PORT_CSP,HVDC-ADOPT-SCT-0127,L003,2,table:csp_detail,NORMAL NORMAL WASH,FSCU8897861,AED,100.00,,100.00,Inspection,MATCHED_AMOUNT,CSP equipment detail row,PASS
HVDC-ADOPT-SCT-0127_PortCNTInsp.pdf,PORT_CSP,HVDC-ADOPT-SCT-0127,L004,2,table:csp_detail,INSPECT CONTAINER INSPECTION,FSCU8897861,AED,30.00,,30.00,Inspection,MATCHED_AMOUNT,CSP equipment detail row,PASS
